GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
0.74037,0.79117,0.66157,0.55954,0.11556,5.061,5.0
0.25558,0.75862,0.33108,0.3913,0.36794,5.057,8.0
0.97724,0.43165,0.59577,0.23553,0.0817,5.045,3.0
1.24886,0.75473,0.80029,0.05822,0.04127,5.033,0.0
0.48835,0.75602,0.53119,0.43408,0.13509,4.996,6.0
0.98853,1.08983,0.55469,0.35972,0.03285,4.907,7.0
0.68042,0.5497,0.38291,0.52168,0.22423,4.876,5.0
0.75216,0.64498,0.05108,0.27854,0.0305,4.875,8.0
0.69429,0.75596,0.58383,0.26755,0.06906,4.871,4.0
1.11758,0.38857,0.64232,0.22544,0.0557,4.813,3.0
0.61202,0.6376,0.23573,0.42662,0.11479,4.795,8.0
0.44626,0.69699,0.50073,0.37012,0.07008,4.793,9.0
0.67024,0.71629,0.56844,0.17744,0.10613,4.754,3.0
0.9553,0.50163,0.73007,0.31866,0.05301,4.655,6.0
0.54177,0.24749,0.52989,0.39778,0.12583,4.643,9.0
0.36485,0.628,0.0,0.30685,0.08196,4.635,8.0
1.07474,0.59205,0.51076,0.24856,0.13636,4.575,3.0
0.93287,0.70362,0.34745,0.48614,0.10398,4.574,8.0
0.52497,0.62542,0.12698,0.42736,0.06126,4.513,8.0
0.29283,0.37932,0.34578,0.36703,0.1717,4.508,8.0
1.02416,0.96053,0.18611,0.42483,0.08415,4.459,8.0
0.97318,0.84783,0.62007,0.50817,0.07964,4.415,9.0
0.74036,0.29247,0.45091,0.40285,0.08722,4.404,9.0
0.34112,0.69981,0.3988,0.42692,0.20243,4.395,5.0
0.95395,0.49813,0.52116,0.18847,0.10393,4.362,3.0
0.86086,0.62477,0.64083,0.14037,0.03616,4.36,6.0
0.52267,0.7624,0.30147,0.40576,0.06686,4.356,8.0
0.87287,1.01413,0.58628,0.12859,0.01829,4.324,6.0
0.63107,0.49353,0.29681,0.40973,0.0326,4.276,8.0
0.05661,0.80676,0.188,0.15602,0.06075,4.272,8.0
0.83792,0.19249,0.64035,0.32461,0.3188,4.252,6.0
0.77109,0.47799,0.28212,0.37938,0.09753,4.236,8.0
0.44314,0.77416,0.40457,0.31056,0.11681,4.219,8.0
1.11306,0.92542,0.67806,0.21219,0.00615,4.217,6.0
0.61391,0.84142,0.28639,0.1268,0.17955,4.201,8.0
0.35041,0.71478,0.1595,0.25429,0.08582,4.193,8.0
0.08709,0.147,0.29364,0.4143,0.07564,4.156,8.0
0.63069,0.81928,0.29759,0.0,0.10039,4.139,8.0
1.15851,0.72368,0.3494,0.28098,0.09314,4.121,8.0
0.31292,0.86333,0.16347,0.27544,0.13647,4.073,8.0
0.34097,0.29561,0.27494,0.12072,0.14476,4.028,4.0
1.09426,0.89186,0.34752,0.44089,0.10769,3.974,8.0
0.27509,0.60323,0.29981,0.15412,0.18437,3.956,8.0
0.55507,0.57576,0.04476,0.40663,0.1553,3.916,8.0
0.55604,0.5375,0.42494,0.58852,0.08092,3.907,5.0
0.84731,0.66366,0.04991,0.00589,0.08434,3.866,8.0
0.1327,0.6053,0.26162,0.38041,0.17176,3.856,8.0
0.39394,0.18519,0.15781,0.19662,0.13015,3.832,8.0
0.42214,0.63178,0.03824,0.12807,0.04952,3.763,8.0
0.31995,0.63054,0.21297,0.3337,0.12533,3.739,8.0
0.34719,0.90981,0.19625,0.43653,0.06442,3.739,8.0
0.57939,0.47493,0.31048,0.2287,0.05892,3.724,3.0
0.27954,0.46115,0.37109,0.13684,0.07506,3.695,8.0
0.47155,0.77623,0.357,0.3176,0.05099,3.666,8.0
0.10706,0.50353,0.23165,0.25748,0.04852,3.622,8.0
0.22415,0.3109,0.18829,0.30953,0.1192,3.607,8.0
0.32846,0.61586,0.31865,0.5432,0.50521,3.515,8.0
0.39499,0.10419,0.21028,0.39747,0.06681,3.484,8.0
0.38227,0.11037,0.17344,0.1643,0.07112,3.36,9.0
0.28123,0.0,0.24811,0.34678,0.11587,3.303,8.0
0.74719,0.14866,0.62994,0.06912,0.17233,3.069,3.0
0.06831,0.23442,0.15747,0.0432,0.09419,2.905,8.0
1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.315963834524155,7.53700017929077,0.0
1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,7.52199983596802,0.0
1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.153526559472084,7.50400018692017,0.0
1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.367007285356522,7.49399995803833,0.0
1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.38261154294014,7.4689998626709,0.0
1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,7.3769998550415,0.0
1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,7.31599998474121,1.0
1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.382816702127457,7.31400012969971,2.0
1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,7.28399991989136,0.0
1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,7.28399991989136,2.0
1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,7.21299982070923,3.0
1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,7.0789999961853,4.0
1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,7.00600004196167,0.0
1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,6.99300003051758,1.0
1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.29838815331459,6.97700023651123,0.0
1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,6.95100021362305,0.0
1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,6.89099979400635,0.0
1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,6.86299991607666,0.0
1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.265428066253662,6.71400022506714,0.0
1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,6.65199995040894,4.0
1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.324489563703537,6.64799976348877,3.0
1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,6.63500022888184,4.0
1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,6.60900020599365,6.0
1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,6.59899997711182,4.0
1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.132774114608765,6.57800006866455,4.0
1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.46430778503418,6.57200002670288,5.0
1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.153066068887711,6.52699995040894,0.0
1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.178061872720718,6.4539999961853,4.0
0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.0772232785820961,6.4539999961853,4.0
1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.070983923971653,6.4520001411438,4.0
1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.172502428293228,6.44199991226196,0.0
1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.0316127352416515,6.42399978637695,5.0
1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,6.42199993133545,
1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,6.40299987792969,0.0
1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.439299255609512,6.375,3.0
1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,6.35699987411499,4.0
1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126,6.3439998626709,3.0
