GDP,Family,Life Expectancy,Freedom,Trust,Score,2015,2016,2017,2018,2019,Western Europe,North America,Australia and New Zealand,Middle East and Northern Africa,Latin America and Caribbean,Southeastern Asia,Central and Eastern Europe,Eastern Asia,Sub-Saharan Africa,Southern Asia
0.01604,0.41134,0.22562,0.43054,0.06977,4.292,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.83524,1.01905,0.70806,0.53726,0.09179,4.271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4225,0.88767,0.23402,0.49309,0.05786,4.252,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.01216,1.10614,0.76649,0.30587,0.00872,4.218,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8818,0.747,0.61712,0.17288,0.06324,4.194,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.54649,0.68093,0.40064,0.35571,0.07854,4.077,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.75778,0.8604,0.16683,0.10384,0.07122,4.033,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.26074,1.03526,0.20583,0.38857,0.12352,3.995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.67866,0.6629,0.31051,0.41466,0.11686,3.989,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.23906,0.79273,0.36315,0.22917,0.199,3.956,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.21102,1.13299,0.33861,0.45727,0.07267,3.931,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.36498,0.97619,0.4354,0.36772,0.10713,3.904,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.06024,0.90528,0.43372,0.31914,0.11091,3.896,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0694,0.77265,0.29707,0.47692,0.15639,3.845,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.46038,0.62736,0.61114,0.66246,0.07247,3.819,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2852,1.00268,0.38215,0.32878,0.05747,3.781,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.20824,0.66801,0.46721,0.19184,0.08124,3.681,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0785,0.0,0.06699,0.48879,0.08289,3.678,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34193,0.76062,0.1501,0.23501,0.05269,3.667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.17417,0.46475,0.24009,0.37725,0.12139,3.656,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.46534,0.77115,0.15185,0.46866,0.17922,3.655,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.25812,0.85188,0.27125,0.39493,0.12832,3.587,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.31982,0.30285,0.30335,0.23414,0.09719,3.575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.22208,0.7737,0.42864,0.59201,0.55191,3.465,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.28665,0.35386,0.3191,0.4845,0.0801,3.34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.6632,0.47489,0.72193,0.15684,0.18906,3.006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0153,0.41587,0.22396,0.1185,0.10062,2.905,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.20868,0.13995,0.28443,0.36453,0.10731,2.839,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.44178,1.16374,0.79504,0.57941,0.44453,7.526,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.52733,1.14524,0.86303,0.58557,0.41203,7.509,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.42666,1.18326,0.86733,0.56624,0.14975,7.501,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.57744,1.1269,0.79579,0.59609,0.35776,7.498,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.40598,1.13464,0.81091,0.57104,0.41004,7.413,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.44015,1.0961,0.8276,0.5737,0.31329,7.404,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.46468,1.02912,0.81231,0.55211,0.29927,7.339,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.36066,1.17278,0.83096,0.58147,0.41904,7.334,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.44443,1.10476,0.8512,0.56837,0.32331,7.313,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.45181,1.08764,0.83121,0.58218,0.40867,7.291,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.33766,0.99537,0.84917,0.36432,0.08728,7.267,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.45038,1.08383,0.80565,0.54355,0.21348,7.119,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.50796,1.04782,0.779,0.48163,0.14868,7.104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.06879,1.02152,0.76146,0.55225,0.10547,7.087,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.35943,1.08113,0.77758,0.46823,0.12275,7.039,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.44787,1.09774,0.81487,0.53466,0.28551,6.994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.08754,1.03938,0.61415,0.40425,0.14166,6.952,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.42539,1.05249,0.81959,0.51354,0.26248,6.929,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.48341,1.16157,0.81455,0.54008,0.29754,6.907,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.69752,1.03999,0.84542,0.5487,0.35329,6.871,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.11508,0.7146,0.71143,0.37709,0.18355,6.778,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.64555,0.86758,0.94719,0.4877,0.46987,6.739,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.40283,1.08672,0.80991,0.50036,0.27399,6.725,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.2167,0.90587,0.81883,0.37789,0.11451,6.705,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.18306,0.98912,0.70835,0.48927,0.08423,6.701,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.15137,1.06612,0.69711,0.42284,0.07296,6.65,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.30915,1.00793,0.76376,0.41418,0.03986,6.596,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.57352,0.87114,0.72993,0.56215,0.35561,6.573,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.18157,1.03143,0.72183,0.54388,0.21394,6.545,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.30782,1.09879,0.80315,0.54994,0.17554,6.488,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.03032,1.02169,0.59659,0.44735,0.05399,6.481,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.39488,1.00508,0.83795,0.46562,0.17808,6.478,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0893,1.04477,0.64915,0.49553,0.02833,6.474,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.48953,0.84829,0.59267,0.37904,0.30008,6.379,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.39729,0.92624,0.79565,0.32377,0.0663,6.379,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.82427,0.87964,0.71723,0.56679,0.48049,6.375,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.34253,1.12945,0.87896,0.37545,0.06137,6.361,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.05266,0.83309,0.61804,0.21006,0.16157,6.355,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.83454,0.87119,0.54039,0.50379,0.08701,6.324,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.09686,0.77866,0.50933,0.52234,0.12692,6.269,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.61714,0.87758,0.63569,0.43166,0.23669,6.239,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.44024,0.94397,0.65696,0.47375,0.25772,6.218,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.32572,0.98569,0.52608,0.48453,0.01241,6.168,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.13367,1.03302,0.61904,0.19847,0.08304,6.084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.27973,1.08268,0.70367,0.23391,0.02947,6.078,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8737,0.80975,0.596,0.37269,0.10613,6.068,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.25142,0.88025,0.62366,0.39031,0.09081,6.005,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.69384,0.89521,0.65213,0.46582,0.16292,5.992,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.73591,1.1681,0.50163,0.60848,0.28333,5.987,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.35495,1.04167,0.85102,0.18827,0.02556,5.977,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.97306,0.85974,0.68613,0.4027,0.18037,5.976,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.87616,0.68655,0.45569,0.51231,0.10771,5.956,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.38007,1.06054,0.91491,0.46761,0.18985,5.921,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.22943,0.95544,0.57386,0.4052,0.11132,5.919,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.69177,0.83132,0.52309,0.25202,0.01903,5.897,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.23228,1.05261,0.58991,0.32682,0.03586,5.856,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.24585,1.04685,0.69058,0.4519,0.055,5.835,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.35948,0.72194,0.88645,0.25168,0.07716,5.835,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.79422,0.83779,0.4697,0.50961,0.07746,5.822,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2692,1.06411,0.64674,0.18929,0.0182,5.813,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.13062,1.04993,0.63104,0.29091,0.17457,5.802,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.31141,0.81826,0.84142,0.43596,0.16578,5.771,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.29947,1.05613,0.79151,0.53164,0.03635,5.768,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.99602,0.81255,0.62994,0.37502,0.05292,5.743,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.08017,1.03817,0.44006,0.37408,0.28467,5.658,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.14372,0.75695,0.66189,0.46145,0.05203,5.648,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.06688,0.95076,0.52304,0.40672,0.10339,5.615,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.21788,0.95025,0.63952,0.27996,0.0889,5.56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.31857,0.70697,0.8488,0.29507,0.05228,5.546,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.89373,1.11111,0.58295,0.46235,0.07396,5.538,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
